sample,time,condition,batch
dex_4h_a,4h,dex,a
dex_8h_a,8h,dex,a
dex_12h_a,12h,dex,a
dex_16h_a,16h,dex,a
dex_20h_a,20h,dex,a
dex_24h_a,24h,dex,a
dex_28h_a,28h,dex,a
dex_32h_a,32h,dex,a
dex_36h_a,36h,dex,a
dex_40h_a,40h,dex,a
dex_44h_a,44h,dex,a
dex_48h_a,48h,dex,a
dex_4h_b,4h,dex,b
dex_8h_b,8h,dex,b
dex_12h_b,12h,dex,b
dex_16h_b,16h,dex,b
dex_20h_b,20h,dex,b
dex_24h_b,24h,dex,b
dex_32h_b,32h,dex,b
dex_36h_b,36h,dex,b
dex_40h_b,40h,dex,b
dex_44h_b,44h,dex,b
dex_48h_b,48h,dex,b
dex_4h_c,4h,dex,c
dex_8h_c,8h,dex,c
dex_12h_c,12h,dex,c
dex_16h_c,16h,dex,c
dex_20h_c,20h,dex,c
dex_24h_c,24h,dex,c
dex_28h_c,28h,dex,c
dex_32h_c,32h,dex,c
dex_36h_c,36h,dex,c
dex_40h_c,40h,dex,c
dex_44h_c,44h,dex,c
dex_48h_c,48h,dex,c
